size,filter,threads,sequential_ms,executor_ms,forkjoin_ms,executor_speedup,forkjoin_speedup
512,Grayscale,1,0.81,0.99,0.89,0.82,0.91
512,Grayscale,2,0.81,0.64,0.17,1.26,4.90
512,Grayscale,4,0.81,0.14,0.14,5.61,5.84
512,Grayscale,8,0.81,0.29,0.12,2.75,6.53
512,GaussianBlur5x5,1,13.94,12.98,14.39,1.07,0.97
512,GaussianBlur5x5,2,13.94,7.37,6.94,1.89,2.01
512,GaussianBlur5x5,4,13.94,4.28,4.43,3.25,3.15
512,GaussianBlur5x5,8,13.94,4.02,4.14,3.46,3.37
512,Sobel3x3,1,7.09,6.69,6.93,1.06,1.02
512,Sobel3x3,2,7.09,3.45,3.82,2.05,1.86
512,Sobel3x3,4,7.09,2.10,2.63,3.38,2.69
512,Sobel3x3,8,7.09,2.87,2.56,2.47,2.77
1024,Grayscale,1,5.52,5.19,5.15,1.06,1.07
1024,Grayscale,2,5.52,2.54,2.93,2.17,1.88
1024,Grayscale,4,5.52,1.61,1.49,3.43,3.71
1024,Grayscale,8,5.52,1.71,1.39,3.23,3.97
1024,GaussianBlur5x5,1,53.16,53.06,53.68,1.00,0.99
1024,GaussianBlur5x5,2,53.16,27.40,26.24,1.94,2.03
1024,GaussianBlur5x5,4,53.16,16.67,16.12,3.19,3.30
1024,GaussianBlur5x5,8,53.16,13.38,16.21,3.97,3.28
1024,Sobel3x3,1,29.12,29.72,31.68,0.98,0.92
1024,Sobel3x3,2,29.12,14.16,14.53,2.06,2.00
1024,Sobel3x3,4,29.12,8.82,9.13,3.30,3.19
1024,Sobel3x3,8,29.12,7.27,8.40,4.01,3.47
2048,Grayscale,1,19.37,18.99,21.12,1.02,0.92
2048,Grayscale,2,19.37,10.09,12.92,1.92,1.50
2048,Grayscale,4,19.37,7.56,8.09,2.56,2.39
2048,Grayscale,8,19.37,6.95,6.91,2.79,2.80
2048,GaussianBlur5x5,1,209.13,215.03,228.35,0.97,0.92
2048,GaussianBlur5x5,2,209.13,120.68,109.67,1.73,1.91
2048,GaussianBlur5x5,4,209.13,62.60,64.86,3.34,3.22
2048,GaussianBlur5x5,8,209.13,54.50,59.51,3.84,3.51
2048,Sobel3x3,1,112.95,114.37,118.90,0.99,0.95
2048,Sobel3x3,2,112.95,56.95,64.79,1.98,1.74
2048,Sobel3x3,4,112.95,34.06,34.96,3.32,3.23
2048,Sobel3x3,8,112.95,30.48,29.39,3.71,3.84
