size,filter,threads,sequential_ms,executor_ms,forkjoin_ms,executor_speedup,forkjoin_speedup
512,GaussianBlur5x5,1,11.16,11.502,12.209,0.97,0.91
512,GaussianBlur5x5,2,11.16,5.815,6.367,1.92,1.75
512,GaussianBlur5x5,4,11.16,3.081,3.132,3.62,3.56
512,GaussianBlur5x5,8,11.16,2.926,2.864,3.81,3.9
512,Grayscale,1,0.097,0.103,0.106,0.95,0.92
512,Grayscale,2,0.097,0.075,0.084,1.29,1.16
512,Grayscale,4,0.097,0.068,0.08,1.43,1.21
512,Grayscale,8,0.097,0.067,0.085,1.44,1.15
512,Sobel3x3,1,5.599,5.687,5.805,0.98,0.96
512,Sobel3x3,2,5.599,2.852,2.99,1.96,1.87
512,Sobel3x3,4,5.599,1.506,1.529,3.72,3.66
512,Sobel3x3,8,5.599,1.321,1.354,4.24,4.14
1024,GaussianBlur5x5,1,44.951,47.1,50.146,0.95,0.9
1024,GaussianBlur5x5,2,44.951,23.854,24.621,1.88,1.83
1024,GaussianBlur5x5,4,44.951,13.273,13.062,3.39,3.44
1024,GaussianBlur5x5,8,44.951,11.712,10.01,3.84,4.49
1024,Grayscale,1,0.33,0.363,0.357,0.91,0.92
1024,Grayscale,2,0.33,0.246,0.237,1.34,1.39
1024,Grayscale,4,0.33,0.227,0.233,1.45,1.42
1024,Grayscale,8,0.33,0.225,0.236,1.47,1.39
1024,Sobel3x3,1,23.156,22.783,23.59,1.02,0.98
1024,Sobel3x3,2,23.156,11.334,11.912,2.04,1.94
1024,Sobel3x3,4,23.156,5.927,5.906,3.91,3.92
1024,Sobel3x3,8,23.156,5.236,4.652,4.42,4.98
2048,GaussianBlur5x5,1,177.981,195.191,194.822,0.91,0.91
2048,GaussianBlur5x5,2,177.981,109.162,98.739,1.63,1.8
2048,GaussianBlur5x5,4,177.981,56.586,55.901,3.15,3.18
2048,GaussianBlur5x5,8,177.981,41.439,37.011,4.3,4.81
2048,Grayscale,1,1.329,1.305,1.386,1.02,0.96
2048,Grayscale,2,1.329,0.869,0.881,1.53,1.51
2048,Grayscale,4,1.329,0.856,0.855,1.55,1.55
2048,Grayscale,8,1.329,0.855,0.861,1.55,1.54
2048,Sobel3x3,1,90.82,88.598,89.27,1.03,1.02
2048,Sobel3x3,2,90.82,46.149,46.798,1.97,1.94
2048,Sobel3x3,4,90.82,24.923,23.628,3.64,3.84
2048,Sobel3x3,8,90.82,20.205,17.809,4.49,5.1
